Time (s),Satellite ID,Longitude (deg),X (km),Y (km),Z (km),VX,VY,VZ,ideal VX,ideal VY,ideal VZ,ideal x,ideal_y,ideal_z,Status,Sun X (km),Sun Y (km),Sun Z (km),Moon X (km),Moon Y (km),Moon Z (km)
52360,01,45.0,-4709.772347115351,-42575.59279408453,758.8181367869847,3.463766893778731,-1.533130084143994,-0.5397900423865571,3.057050778573287,-0.33103326667311134,0.0,-4538.447318009242,-41911.99285337855,0.0,stationkeeping,149589741.8814386,1559500.5028807793,0.0,231417.43006769323,306935.38906562125,0.0
52370,01,45.0,-4675.436260642104,-42591.80584095398,753.1201907749585,3.4498488334483843,-1.5489110911382227,-0.6440051793936219,3.0572914202209303,-0.3288033732541337,0.0,-4507.875605659863,-41915.29203672446,0.0,stationkeeping,149589738.77619752,1559798.3340481897,0.0,231409.2602879191,306941.54859353614,0.0
52380,01,45.0,-4640.931608314658,-42607.378080234164,747.0298954946562,3.466277190819195,-1.4837254639547617,-0.6825522675753704,3.057530435325755,-0.3265733049049018,0.0,-4477.301495026616,-41918.568920260535,0.0,stationkeeping,149589735.6703635,1560096.1652094172,0.0,231401.0903441997,306947.70790399384,0.0
52390,01,45.0,-4605.339795486151,-42622.11495269019,738.9888675853541,3.574272776395841,-1.3992040297055048,-0.8764308462615658,3.0577678237605994,-0.32434306281186115,0.0,-4446.725002375602,-41921.82350224341,0.0,stationkeeping,149589732.56393644,1560393.9963644603,0.0,231392.92023654084,306953.86699699005,0.0
52400,01,45.0,-4569.779788471405,-42636.11540062651,730.3976118178207,3.570598953508018,-1.3246283797373686,-0.9304840006870915,3.0580035853991685,-0.3221126481615417,0.0,-4416.146143974079,-41925.05578094158,0.0,stationkeeping,149589729.45691642,1560691.827513318,0.0,231384.74996494837,306960.0258725203,0.0
52410,01,45.0,-4532.835195506267,-42648.0517726074,721.5005233218238,3.708142769266442,-1.1177570701328372,-0.9601159286039432,3.058237720116032,-0.319882062140576,0.0,-4385.564936090711,-41928.2657546354,0.0,stationkeeping,149589726.34930342,1560989.658655989,0.0,231376.579529428,306966.1845305803,0.0
52420,01,45.0,-4495.538464461595,-42659.42937235797,710.8390305900818,3.7426132974263857,-1.0611686582353888,-1.135136765424836,3.058470227786625,-0.317651305935677,0.0,-4354.981394995266,-41931.45342161711,0.0,stationkeeping,149589723.24109745,1561287.4897924725,0.0,231368.4089299856,306972.34297116566,0.0
52430,01,45.0,-4458.115377467769,-42669.75791695123,699.2619091376355,3.754538373689831,-0.955752581623422,-1.2253581998762177,3.058701108287249,-0.3154203807336561,0.0,-4324.395536958862,-41934.618780190794,0.0,stationkeeping,149589720.1322985,1561585.3209227666,0.0,231360.23816662683,306978.5011942721,0.0
52440,01,45.0,-4420.458056175436,-42680.355710019365,686.7141277462696,3.777206498335592,-0.9818740775939299,-1.3209746348191547,3.058930361495071,-0.3131892877214122,0.0,-4293.807378253814,-41937.76182867242,0.0,stationkeeping,149589717.02290657,1561883.1520468704,0.0,231352.06723935765,306984.6591998951,0.0
52450,01,45.0,-4382.524730709699,-42690.29269714829,672.3267907488256,3.8040158795597443,-0.915239923646598,-1.5031228112160435,3.0591579872881227,-0.3109580280859332,0.0,-4263.2169351536595,-41940.88256538981,0.0,stationkeeping,149589713.91292167,1562180.9831647833,0.0,231343.89614818367,306990.81698803045,0.0
52460,01,45.0,-4343.544848010644,-42699.82508667273,657.1849516541002,3.907621980189165,-0.874213537715957,-1.5769071609008505,3.059383985545303,-0.30872660301429583,0.0,-4232.624223933154,-41943.98098868268,0.0,stationkeeping,149589710.8023438,1562478.8142765036,0.0,231335.72489311083,306996.9745586737,0.0
52470,01,45.0,-4305.499412798309,-42708.61794515127,642.5764399509011,3.813617533976259,-0.799832463829303,-1.5222194891221235,3.0596083561463763,-0.30649501369366483,0.0,-4202.029260868258,-41947.0570969026,0.0,stationkeeping,149589707.69117293,1562776.6453820302,0.0,231327.5534741448,307003.1319118205,0.0
52480,01,45.0,-4267.647784578029,-42716.3629814846,627.3966935028673,3.7853777272877793,-0.7723520821752459,-1.5180062489213557,3.7851628220280036,-0.7745036333326606,-1.517974644803379,-4171.432062236166,-41950.110888413015,0.0,non-stationkeeping,149589704.5794091,1563074.4764813615,0.0,231319.38189129147,307009.28904746653,0.0
52490,01,45.0,-4229.224794163085,-42723.9742021626,612.7185013057815,3.8425119584886094,-0.7589706683490354,-1.4678500767608065,3.8422990414944658,-0.7611220678001718,-1.4678192197085793,-4140.832644315152,-41953.14236158924,0.0,non-stationkeeping,149589701.46705228,1563372.3075744975,0.0,231311.2101445566,307015.44596560736,0.0
52500,01,45.0,-4191.236558624958,-42732.390391681,597.8798489004313,3.799034492409891,-0.8394677960992516,-1.4838953409585194,3.798823553812648,-0.8416189518399878,-1.4838652405350272,-4110.23102338482,-41956.15151481848,0.0,non-stationkeeping,149589698.3541025,1563670.1386614358,0.0,231303.03823394596,307021.60266623873,0.0
52510,01,45.0,-4155.014567139131,-42741.006909348944,582.4235952382222,3.622408193013076,-0.8595009050369982,-1.5456546785767427,3.6221991485826894,-0.8616517667945235,-1.54562536622091,-4079.6272157257954,-41959.13834649979,0.0,non-stationkeeping,149589695.24055973,1563967.9697421754,0.0,231294.86615946528,307027.75914935616,0.0
52520,01,45.0,-4118.632632780145,-42751.53665907788,566.501051039895,3.6384005515947013,-1.0508245972436776,-1.592282917369894,3.638193435898619,-1.0529749728936022,-1.5922544198327315,-4049.0212376199806,-41962.102855044126,0.0,non-stationkeeping,149589692.12642398,1564265.800816716,0.0,231286.69392112043,307033.91541495535,0.0
52530,01,45.0,-4081.4292097514794,-42762.52906340974,551.9979312691902,3.7205474440282083,-1.097090586140506,-1.4503397310730728,3.7203423028665714,-1.0992404331862573,-1.4503119770704704,-4018.4131053503934,-41965.0450388743,0.0,non-stationkeeping,149589689.01169524,1564563.6318850552,0.0,231278.52151891723,307040.0714630319,0.0
52540,01,45.0,-4044.1554441462567,-42773.60203023545,536.8191105153276,3.7275797240918402,-1.1051473754962888,-1.5179090524449137,3.72737656052229,-1.1072966825715085,-1.5178820753862592,-3987.8028352011993,-41967.964896425,0.0,non-stationkeeping,149589685.89637354,1564861.4629471928,0.0,231270.34895286142,307046.2272935815,0.0
52550,01,45.0,-4006.125165559099,-42785.99895838042,523.2858001714114,3.803228990324213,-1.2375441767541009,-1.3533573155465708,3.803027858715754,-1.2396928144969301,-1.3533310343916174,-3957.190443457701,-41970.86242614282,0.0,non-stationkeeping,149589682.78045887,1565159.294003127,0.0,231262.17622295878,307052.3829065998,0.0
52560,01,45.0,-3967.007165140112,-42798.103184948806,509.7816407923418,3.911999094236924,-1.2082746501008255,-1.3504415260794957,3.9118000418987,-1.2104226568387684,-1.3504159379069616,-3926.5759464063285,-41973.7376264862,0.0,non-stationkeeping,149589679.66395122,1565457.125052857,0.0,231254.00332921508,307058.53830208234,0.0
52570,01,45.0,-3927.5000368198444,-42811.60564570213,496.280407227158,3.950909768703508,-1.348098838755365,-1.3501482502188624,3.9507128320267864,-1.3502460753324492,-1.3501233565183846,-3895.959360334671,-41976.59049592548,0.0,non-stationkeeping,149589676.54685056,1565754.9560963814,0.0,231245.8302716362,307064.6934800249,0.0
52580,01,45.0,-3888.55575152185,-42824.536577756146,483.9281991617484,3.894623388107987,-1.2909466979504949,-1.2352450650774225,3.8944285297994328,-1.293093205401324,-1.2352208065409545,-3865.3407015313164,-41979.42103294286,0.0,non-stationkeeping,149589673.42915696,1566052.787133699,0.0,231237.65705022783,307070.848440423,0.0
